Name,Bio Link,Job Title,City
Brittanny Anderson,https://www.bravotv.com/people/brittanny-anderson,"Chef and Co-Owner of Metzger Bar and Butchery, Brenner Pass, and Black Lodge, Richmond, VA. Leni, Washington, D.C","Richmond, VA"
Avishar Barua,https://www.bravotv.com/people/avishar-barua,"Executive Chef & GM, Service Bar","Columbus, OH"
Dawn Burrell,https://www.bravotv.com/people/dawn-burrell,"Partner/Executive Chef, Lucille's Hospitality Group","Houston, TX"
Gabe Erales,https://www.bravotv.com/people/gabe-erales,Chef,"Austin, TX"
Nelson German,https://www.bravotv.com/people/nelson-german,"Executive Chef/Owner, alaMar Kitchen and Sobre Mesa Afro-Latino cocktail lounge","Oakland, CA"
Byron Gomez,https://www.bravotv.com/people/byron-gomez,Executive Chef at 7908,"Aspen, CO"
Sasha Grumman,https://www.bravotv.com/people/sasha-grumman,Executive Chef,"Houston, TX"
Roscoe Hall,https://www.bravotv.com/people/roscoe-hall,Chef/Artist/Father,"Birmingham, AL"
Sara Hauman,https://www.bravotv.com/people/sara-hauman,"Head Chef, Soter Vineyards","Portland, OR"
Kiki Louya,https://www.bravotv.com/people/kiki-louya,Chef / Consultant,"Detroit, MI"
Maria Mazon,https://www.bravotv.com/people/maria-mazon,"Executive Chef/Owner, BOCA Tacos y Tequila","Tucson, AZ"
Shota Nakajima,https://www.bravotv.com/people/shota-nakajima,"Chef/Owner, Taku","Seattle, WA"
Gabriel Pascuzzi,https://www.bravotv.com/people/gabriel-pascuzzi,"Chef/Owner, Mama Bird, Stacked Sandwich Shop and Feel Good","Portland, OR"
Jamie Tran,https://www.bravotv.com/people/jamie-tran,"Chef/Owner, The Black Sheep","Las Vegas, NV"
Chris Viaud,https://www.bravotv.com/people/chris-viaud,Chef/Owner of Greenleaf and Culture,"Milford, NH"
